"Cree una programación para un proyecto en esta hoja de cálculo.
Escriba el título de este proyecto en la celda B1. 
Para obtener información sobre cómo usar esta hoja de cálculo, incluidas las instrucciones para lectores de pantalla y el nombre del autor de este libro, vea la hoja de cálculo Información.
Desplácese hacia abajo por la columna A para escuchar más instrucciones.",final,,,,,,,GRÁFICO GANTT SIMPLE de Vertex42.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escriba el nombre de la compañía en la celda B2.,cos,,,,,,,https://www.vertex42.com/ExcelTemplates/simple-gantt-chart.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escriba el nombre del responsable del proyecto en la celda B3. Escriba la fecha de comienzo del proyecto en la celda E3. Inicio del proyecto: la etiqueta se encuentra en la celda C3.,abichueá,Inicio del proyecto:,,"jue, 2024-08-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La semana que se muestra en la celda E4 representa la semana inicial para mostrar en la programación del proyecto en la celda I4. La fecha de inicio del proyecto se considera la semana 1. Para cambiar semana que se muestra, simplemente escriba un número de semana nuevo en la celda E4.
La fecha de inicio de cada semana, comenzando por la semana mostrada en la celda E4, comienza en la celda I4 y se calcula automáticamente. Hay 8 semanas representadas en esta vista desde la celda I4 hasta la celda BF4.
No debería modificar estas celdas.
La etiqueta de la semana para mostrar se encuentra en la celda C4.",,Semana para mostrar:,,4,,,,primera semana,,,,,,,segunda semana,,,,,,,tercer semana,,,,,,,cuarta semana,,,,,,,quinta semana,,,,,,,sexta semana,,,,,,,ultima semana d p,,,,,,,final,,,,,,
"Las celdas I5 a BL5 contienen el número de días de la semana representado en el bloque de celdas encima de cada celda de fecha y se calculan automáticamente.
No debería modificar estas celdas.
La fecha actual está rodeada con una línea roja (hex. AD3815) desde la fecha actual en la fila 5 hasta toda la columna de fechas y el fin de la programación del proyecto.",,,,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"Esta fila contiene los encabezados de la programación del proyecto posterior debajo de estos. 
Navegue desde la celda B6 a BL 6 para escuchar el contenido. La primera letra de cada día de la semana de la fecha encima de ese encabezado empieza en la celda I6 y continúa hasta la celda BL6.
Todo el gráficos de escala de tiempo del proyecto está generados automáticamente en función de las fechas de inicio y finalización especificadas, con formatos condicionales.
No modifique el contenido de las celdas en las columnas después de la columna I comenzando por la celda I7.",TAREA,,PROGRESO,INICIO,FIN,,DÍAS,l,m,m,j,v,s,d,l,m,m,j,v,s,d,l,m,m,j,v,s,d,l,m,m,j,v,s,d,l,m,m,j,v,s,d,l,m,m,j,v,s,d,l,m,m,j,v,s,d,l,m,m,j,v,s,d
No elimine esta fila. Esta fila está oculta para conservar una fórmula que se usa para resaltar el día actual dentro de la programación del proyecto. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La celda B8 contiene el título de ejemplo de la Fase 1. 
Escriba un nuevo título en la celda B8.
Escriba un nombre para asignar la fase, si se aplica para el proyecto, en la celda C8.
Escriba el progreso de la fase completa, si se aplica para el proyecto, en la celda D8.
Escriba las fechas de inicio y finalización de la fase completa, si se aplica para el proyecto, en las celdas E8 y F8. 
El gráfico de Gantt rellena automáticamente las fechas adecuadas y aplica un sombreado según el progreso especificado.
Para eliminar la fase y trabajar solo con las tareas, elimine esta fila.",Ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Las filas de la 10 a la 13 repiten el patrón de la fila 9. 
Repita las instrucciones de la celda A9 para todas las filas de tareas en esta hoja de cálculo. Sobrescriba los datos de ejemplo.
Un ejemplo de otra fase empieza en la celda A14. 
Continue escribiendo tareas en las celdas de la A10 a la A13 o vaya a la celda A14 para obtener más información.",Etapas de relevamiento,,60%,,2-1-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,propuesta,,50%,,4-1-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,final funcion,,100%,4-1-00,9-1-00,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ip,,100%,1-1-00,3-1-00,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La celda a la derecha contiene el título de ejemplo de la Fase 2. 
Puede crear una nueva fase en cualquier momento en la columna B. Esta programación de proyecto no necesita fases. Para quitar la fase, basta con eliminar la fila.
Para crear un bloque de fase nuevo en esta fila, escriba un nuevo título en la celda a la derecha.
Para continuar agregando tareas a la fase anterior, escriba una nueva fila encima de esta y rellene los datos de la tarea como se explica en la celda A9.
Actualice los detalles de la fase en la celda a la derecha como se explica en la celda A8.
Continúe navegando por las celdas de la columna A para obtener más información.
Si no ha agregado nuevas filas en esta hoja de cálculo, verá que se han creado automáticamente 2 bloques de fase de ejemplo adicionales en las celdas B20 y B26. En caso contrario, desplácese por las celdas de la columna A para buscar los bloques adicionales. 
Repita las instrucciones de las celdas A8 y A9 cuando lo necesite.",Abi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,diagrama 1,,50%,2-1-00,6-1-00,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,diagrama2,,50%,,5-1-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gantt,,70%,5-1-00,8-1-00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cableado,,,,2-1-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,caso de uso,,,0-1-00,3-1-00,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloque de título fase de ejemplo,Raul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tendido redmodelo3d,,,#¡REF!,#¡REF!,,#¡REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base de datos conexion,,,#¡REF!,#¡REF!,,#¡REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aplicacion,,,#¡REF!,#¡REF!,,#¡REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloque de título fase de ejemplo,celli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,requerimientos,,,fecha,fecha,,#¡VALOR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
